drug_name,SKU,opening_stock,stock_added,stock_removed,reorder_point,supplier,cost_per_unit
Drug_1,SKU_1,360,289,83,25,SupplierC,12.38
Drug_2,SKU_2,299,170,256,48,SupplierB,22.76
Drug_3,SKU_3,291,211,192,21,SupplierA,31.41
Drug_4,SKU_4,464,188,138,83,SupplierB,45.84
Drug_5,SKU_5,176,264,220,55,SupplierB,1.78
Drug_6,SKU_6,199,213,188,39,SupplierC,11.42
Drug_7,SKU_7,380,88,196,74,SupplierB,12.49
Drug_8,SKU_8,481,129,73,56,SupplierA,17.0
Drug_9,SKU_9,385,22,197,71,SupplierC,14.81
Drug_10,SKU_10,433,178,259,88,SupplierC,29.92
Drug_11,SKU_11,437,19,198,89,SupplierB,44.4
Drug_12,SKU_12,198,241,136,41,SupplierB,32.21
Drug_13,SKU_13,218,239,174,34,SupplierA,12.83
Drug_14,SKU_14,94,28,132,66,SupplierB,43.32
Drug_15,SKU_15,133,244,26,90,SupplierA,31.97
Drug_16,SKU_16,57,119,256,88,SupplierB,11.73
Drug_17,SKU_17,156,31,50,71,SupplierA,18.72
Drug_18,SKU_18,422,139,143,58,SupplierB,39.71
Drug_19,SKU_19,314,157,235,21,SupplierC,37.21
Drug_20,SKU_20,195,59,159,64,SupplierA,29.25
Drug_21,SKU_21,80,138,270,43,SupplierC,8.09
Drug_22,SKU_22,293,211,153,80,SupplierC,40.36
Drug_23,SKU_23,84,138,36,84,SupplierC,16.07
Drug_24,SKU_24,296,110,216,72,SupplierC,38.81
Drug_25,SKU_25,463,250,129,40,SupplierA,32.73
Drug_26,SKU_26,67,98,75,86,SupplierB,13.94
Drug_27,SKU_27,474,177,287,20,SupplierC,11.41
Drug_28,SKU_28,73,0,196,78,SupplierB,7.41
Drug_29,SKU_29,391,88,216,66,SupplierA,12.86
Drug_30,SKU_30,353,112,98,37,SupplierB,8.73
Drug_31,SKU_31,447,282,284,52,SupplierA,31.24
Drug_32,SKU_32,452,115,229,34,SupplierB,30.34
Drug_33,SKU_33,365,31,108,43,SupplierA,29.72
Drug_34,SKU_34,398,261,163,55,SupplierA,32.45
Drug_35,SKU_35,327,40,115,79,SupplierB,40.92
Drug_36,SKU_36,79,166,70,53,SupplierC,45.76
Drug_37,SKU_37,192,220,213,70,SupplierC,12.29
Drug_38,SKU_38,326,213,52,59,SupplierB,29.8
Drug_39,SKU_39,459,130,84,41,SupplierC,4.84
Drug_40,SKU_40,405,47,75,35,SupplierC,6.89
Drug_41,SKU_41,61,133,266,61,SupplierA,33.06
Drug_42,SKU_42,440,6,247,35,SupplierB,24.84
Drug_43,SKU_43,252,43,285,24,SupplierC,38.16
Drug_44,SKU_44,299,85,78,25,SupplierC,21.86
Drug_45,SKU_45,152,47,106,61,SupplierC,7.25
Drug_46,SKU_46,84,239,81,49,SupplierB,43.73
Drug_47,SKU_47,373,151,201,51,SupplierC,5.06
Drug_48,SKU_48,435,257,229,72,SupplierC,10.26
Drug_49,SKU_49,69,43,226,38,SupplierC,14.57
Drug_50,SKU_50,96,167,19,70,SupplierA,49.77
Drug_51,SKU_51,133,274,267,47,SupplierB,21.43
Drug_52,SKU_52,317,190,177,66,SupplierC,25.58
Drug_53,SKU_53,102,151,139,91,SupplierA,38.72
Drug_54,SKU_54,322,49,79,20,SupplierB,32.18
Drug_55,SKU_55,67,275,181,87,SupplierA,42.23
Drug_56,SKU_56,153,94,73,76,SupplierA,24.84
Drug_57,SKU_57,201,241,146,41,SupplierB,48.64
Drug_58,SKU_58,377,104,232,77,SupplierC,40.04
Drug_59,SKU_59,214,259,141,32,SupplierC,20.67
Drug_60,SKU_60,410,137,149,58,SupplierA,19.68
Drug_61,SKU_61,463,182,131,46,SupplierB,46.55
Drug_62,SKU_62,133,56,238,58,SupplierB,34.54
Drug_63,SKU_63,357,239,161,91,SupplierC,31.45
Drug_64,SKU_64,200,104,249,31,SupplierA,38.13
Drug_65,SKU_65,86,64,127,43,SupplierC,28.48
Drug_66,SKU_66,428,139,273,37,SupplierB,8.8
Drug_67,SKU_67,402,61,81,34,SupplierB,16.64
Drug_68,SKU_68,201,151,231,79,SupplierC,28.34
Drug_69,SKU_69,405,129,30,35,SupplierC,1.89
Drug_70,SKU_70,425,125,233,93,SupplierB,22.43
Drug_71,SKU_71,257,211,83,66,SupplierA,38.03
Drug_72,SKU_72,99,161,41,43,SupplierB,9.05
Drug_73,SKU_73,269,204,201,64,SupplierA,4.16
Drug_74,SKU_74,453,28,250,38,SupplierC,41.97
Drug_75,SKU_75,96,181,84,60,SupplierC,31.25
Drug_76,SKU_76,67,50,182,50,SupplierA,9.65
Drug_77,SKU_77,171,234,265,35,SupplierB,40.51
Drug_78,SKU_78,331,13,70,42,SupplierB,33.25
Drug_79,SKU_79,169,57,21,97,SupplierA,17.37
Drug_80,SKU_80,300,136,75,42,SupplierA,19.43
Drug_81,SKU_81,376,127,268,60,SupplierA,8.64
Drug_82,SKU_82,348,36,167,37,SupplierA,41.93
Drug_83,SKU_83,96,267,239,55,SupplierB,25.94
Drug_84,SKU_84,134,84,50,31,SupplierC,28.29
Drug_85,SKU_85,348,209,82,94,SupplierB,44.29
Drug_86,SKU_86,433,138,89,88,SupplierA,1.78
Drug_87,SKU_87,209,26,12,70,SupplierB,4.28
Drug_88,SKU_88,56,232,156,51,SupplierA,8.92
Drug_89,SKU_89,294,170,198,90,SupplierA,2.47
Drug_90,SKU_90,264,177,153,55,SupplierA,33.25
Drug_91,SKU_91,261,19,197,59,SupplierA,32.06
Drug_92,SKU_92,261,263,223,89,SupplierB,11.33
Drug_93,SKU_93,337,196,117,57,SupplierA,8.32
Drug_94,SKU_94,267,63,150,73,SupplierB,8.14
Drug_95,SKU_95,300,43,243,23,SupplierB,47.71
Drug_96,SKU_96,393,243,74,65,SupplierC,34.98
Drug_97,SKU_97,370,11,212,82,SupplierB,29.69
Drug_98,SKU_98,363,259,274,93,SupplierC,16.8
Drug_99,SKU_99,230,295,243,69,SupplierC,22.22
Drug_100,SKU_100,141,256,177,49,SupplierC,5.38
Drug_101,SKU_101,267,234,107,92,SupplierB,49.91
Drug_102,SKU_102,339,246,290,35,SupplierC,38.0
Drug_103,SKU_103,139,140,176,71,SupplierA,31.45
Drug_104,SKU_104,246,180,173,23,SupplierB,29.8
Drug_105,SKU_105,233,152,92,45,SupplierA,25.71
Drug_106,SKU_106,115,43,99,48,SupplierB,13.61
Drug_107,SKU_107,465,108,180,30,SupplierC,12.09
Drug_108,SKU_108,147,97,158,43,SupplierC,27.93
Drug_109,SKU_109,355,226,95,70,SupplierB,4.44
Drug_110,SKU_110,73,80,231,61,SupplierC,4.65
Drug_111,SKU_111,269,217,250,58,SupplierA,28.48
Drug_112,SKU_112,223,148,66,26,SupplierA,46.07
Drug_113,SKU_113,436,75,236,37,SupplierC,45.8
Drug_114,SKU_114,294,79,18,22,SupplierB,1.53
Drug_115,SKU_115,163,51,286,82,SupplierB,6.26
Drug_116,SKU_116,315,62,287,39,SupplierA,29.57
Drug_117,SKU_117,439,83,206,92,SupplierC,42.58
Drug_118,SKU_118,403,254,102,93,SupplierC,47.77
Drug_119,SKU_119,272,58,158,89,SupplierA,43.17
Drug_120,SKU_120,357,7,194,36,SupplierB,34.2
Drug_121,SKU_121,284,75,50,98,SupplierC,10.83
Drug_122,SKU_122,355,77,223,78,SupplierB,4.56
Drug_123,SKU_123,159,123,201,73,SupplierB,3.33
Drug_124,SKU_124,363,11,91,32,SupplierA,30.99
Drug_125,SKU_125,485,279,154,61,SupplierB,2.77
Drug_126,SKU_126,62,44,175,63,SupplierA,37.22
Drug_127,SKU_127,174,52,109,99,SupplierC,35.91
Drug_128,SKU_128,364,180,298,86,SupplierB,4.9
Drug_129,SKU_129,216,233,222,91,SupplierA,45.42
Drug_130,SKU_130,102,185,178,39,SupplierA,26.57
Drug_131,SKU_131,235,292,225,66,SupplierB,45.32
Drug_132,SKU_132,325,74,74,43,SupplierA,45.18
Drug_133,SKU_133,496,197,70,70,SupplierC,10.65
Drug_134,SKU_134,401,78,208,37,SupplierB,19.65
Drug_135,SKU_135,59,232,102,42,SupplierC,7.6
Drug_136,SKU_136,459,167,40,20,SupplierA,38.97
Drug_137,SKU_137,196,22,279,85,SupplierC,25.7
Drug_138,SKU_138,366,229,29,24,SupplierA,46.51
Drug_139,SKU_139,382,134,242,37,SupplierA,11.2
Drug_140,SKU_140,167,292,51,99,SupplierC,34.73
Drug_141,SKU_141,467,37,56,93,SupplierB,49.47
Drug_142,SKU_142,389,231,189,54,SupplierB,33.6
Drug_143,SKU_143,477,167,78,44,SupplierB,4.37
Drug_144,SKU_144,67,284,195,43,SupplierC,29.83
Drug_145,SKU_145,426,102,196,32,SupplierC,9.81
Drug_146,SKU_146,275,144,30,40,SupplierC,2.49
Drug_147,SKU_147,161,242,29,58,SupplierC,17.41
Drug_148,SKU_148,121,147,112,53,SupplierB,14.04
Drug_149,SKU_149,193,152,137,38,SupplierB,39.65
Drug_150,SKU_150,153,294,221,47,SupplierA,19.31
Drug_151,SKU_151,264,125,171,30,SupplierC,36.91
Drug_152,SKU_152,126,191,154,68,SupplierB,1.8
Drug_153,SKU_153,75,82,275,54,SupplierB,1.73
Drug_154,SKU_154,279,20,219,95,SupplierB,2.44
Drug_155,SKU_155,242,287,275,76,SupplierB,11.75
Drug_156,SKU_156,499,283,11,47,SupplierB,19.33
Drug_157,SKU_157,152,267,84,85,SupplierB,30.78
Drug_158,SKU_158,254,120,221,84,SupplierC,49.31
Drug_159,SKU_159,460,110,48,92,SupplierA,18.37
Drug_160,SKU_160,309,78,179,41,SupplierA,3.73
Drug_161,SKU_161,282,84,9,70,SupplierC,10.55
Drug_162,SKU_162,100,79,260,28,SupplierB,44.99
Drug_163,SKU_163,180,150,185,90,SupplierC,35.27
Drug_164,SKU_164,392,243,228,55,SupplierB,39.72
Drug_165,SKU_165,115,217,157,73,SupplierB,7.08
Drug_166,SKU_166,449,14,272,57,SupplierB,7.61
Drug_167,SKU_167,251,100,20,85,SupplierB,6.5
Drug_168,SKU_168,333,267,15,62,SupplierB,43.0
Drug_169,SKU_169,349,34,282,24,SupplierC,11.29
Drug_170,SKU_170,195,282,114,56,SupplierC,32.51
Drug_171,SKU_171,307,124,5,77,SupplierA,26.29
Drug_172,SKU_172,477,223,297,82,SupplierB,27.68
Drug_173,SKU_173,453,160,258,70,SupplierC,10.58
Drug_174,SKU_174,361,12,39,91,SupplierC,32.13
Drug_175,SKU_175,425,164,275,62,SupplierB,3.11
Drug_176,SKU_176,153,257,231,86,SupplierB,49.68
Drug_177,SKU_177,200,292,6,86,SupplierC,2.31
Drug_178,SKU_178,167,113,92,84,SupplierB,3.46
Drug_179,SKU_179,365,119,20,81,SupplierC,16.91
Drug_180,SKU_180,248,68,10,82,SupplierA,41.75
Drug_181,SKU_181,478,273,49,49,SupplierB,13.6
Drug_182,SKU_182,352,47,264,57,SupplierA,24.12
Drug_183,SKU_183,383,57,44,70,SupplierA,1.88
Drug_184,SKU_184,470,77,284,57,SupplierA,4.87
Drug_185,SKU_185,441,203,270,86,SupplierB,30.79
Drug_186,SKU_186,438,224,274,96,SupplierA,10.52
Drug_187,SKU_187,328,262,34,67,SupplierC,35.02
Drug_188,SKU_188,154,102,140,31,SupplierC,39.48
Drug_189,SKU_189,59,108,143,39,SupplierB,42.67
Drug_190,SKU_190,162,264,244,91,SupplierB,7.56
Drug_191,SKU_191,76,55,192,21,SupplierA,23.32
Drug_192,SKU_192,148,251,34,94,SupplierB,47.41
Drug_193,SKU_193,306,299,271,74,SupplierC,38.83
Drug_194,SKU_194,376,71,177,25,SupplierC,6.73
Drug_195,SKU_195,420,140,269,81,SupplierC,25.62
Drug_196,SKU_196,185,179,150,68,SupplierB,46.2
Drug_197,SKU_197,444,202,98,73,SupplierC,22.56
Drug_198,SKU_198,275,270,28,29,SupplierB,42.03
Drug_199,SKU_199,176,109,149,43,SupplierA,25.3
Drug_200,SKU_200,165,81,207,48,SupplierC,6.23
